model_id,weight,log_likelihood,SLR2100
run9,0.0532426886628754,-2.4795918055623845,-0.0005000000237487257
run1,0.0515392847099559,-2.5121079718393515,-0.0005000000237487257
run25,0.0474959501834471,-2.5938078505095303,-0.0005000000237487257
run14,0.0467758969455315,-2.609084250896931,-0.0005000000237487257
run2,0.04601813644198,-2.6254167093567555,-0.0005000000237487257
run23,0.0450656927970365,-2.646331033445444,-0.0005000000237487257
run16,0.0444286444419001,-2.6605678921101052,-0.0005000000237487257
run5,0.0438905454985121,-2.6727533662312197,-0.0005000000237487257
run6,0.0438623031638199,-2.673397045293445,-0.0005000000237487257
run7,0.0421031090976117,-2.714330710358394,-0.0005000000237487257
run13,0.0413155171221935,-2.7332141519721636,-0.0005000000237487257
run4,0.0395829554842252,-2.776053690080093,-0.0005000000237487257
run26,0.0395068655068171,-2.7779778315165116,-0.0005000000237487257
run17,0.0392815702458094,-2.783696840224258,-0.0005000000237487257
run15,0.0366360089601947,-2.8534206905052866,-0.0005000000237487257
run8,0.0357760113410701,-2.8771747040847298,-0.0005000000237487257
run22,0.0351594806892752,-2.8945579958411973,-0.0005000000237487257
run12,0.0319871487460178,-2.9891180781702658,-0.0005000000237487257
run27,0.0311822722278544,-3.014602563114797,-0.0005000000237487257
run19,0.0299966333461664,-3.0533671450491293,-0.0005000000237487257
run10,0.0276951832009047,-3.1331937922111988,-0.0005000000237487257
run24,0.0268470577346087,-3.1642960652479415,-0.0005000000237487257
run11,0.0254703528292235,-3.2169371569866003,-0.0005000000237487257
run18,0.0254161702454364,-3.219066703317915,-0.0005000000237487257
run20,0.0253694841886402,-3.2209052567624803,-0.0005000000237487257
run3,0.0249987302056317,-3.23562726681597,-0.0005000000237487257
run21,0.0193563059832594,-3.4914340416267935,-0.0005000000237487257
