model_id,weight,log_likelihood
run5,0.052161586527433884,-2.323889440811419
run9,0.05064854695026223,-2.3533252322877276
run1,0.04814072024942688,-2.4041073807192888
run18,0.0480510910913699,-2.405970931945667
run6,0.04448193661930912,-2.4831525864231057
run2,0.044301192773792644,-2.4872241729158726
run14,0.043543449324824415,-2.5044764998765436
run7,0.04271140100960874,-2.5237698873581196
run15,0.040532267470582396,-2.57613738995862
run8,0.03923753108845076,-2.6086020600382787
run19,0.038669619174848006,-2.6231815170274655
run11,0.03836512136223231,-2.631087025538112
run21,0.038299916995241115,-2.6327880455626347
run26,0.03758099402120696,-2.651737330081499
run16,0.036621717439471436,-2.6775943374262807
run13,0.034883272133257204,-2.726228368720122
run17,0.03432712620476189,-2.742299881456356
run25,0.03421618708590173,-2.7455369358211734
run23,0.03231674627022855,-2.802650218267748
run20,0.03188422128137951,-2.816124517777873
run24,0.03184388954384828,-2.8173902619649707
run3,0.03156457335123886,-2.8262003793064623
run12,0.03138844409180938,-2.8317959718973595
run10,0.029663858399133946,-2.888306358640733
run4,0.025120322691296933,-3.054558587012197
run27,0.022406618422887145,-3.168879393993628
run22,0.017037648426195772,-3.4428102658004733
