model,run_id,sle_mm_final,weight
run01_fort.92,run1,-285.7162719654306,0.04682824466769907
run02_fort.92,run2,-251.4787915584087,0.04392314382088596
run03_fort.92,run3,-252.97635059321354,0.031321448099275145
run04_fort.92,run4,-335.18863739437165,0.024544000853056233
run05_fort.92,run5,-323.059996730864,0.05099319901136458
run06_fort.92,run6,-303.5123533578286,0.04374492677430866
run07_fort.92,run7,-340.04115200538234,0.04252842312489236
run08_fort.92,run8,-324.7427662470051,0.03728681751046266
run09_fort.92,run9,-306.205842929262,0.04968896476188877
run10_fort.92,run10,-165.29770872861587,0.030963997144609144
run11_fort.92,run11,-163.0381408563132,0.03777924849412006
run12_fort.92,run12,-146.0040683014131,0.03303945293808165
run13_fort.92,run13,-215.6432092838565,0.035626657921425546
run14_fort.92,run14,-193.0845726570969,0.043189914864516364
run15_fort.92,run15,-188.4754775358425,0.040811053482084754
run16_fort.92,run16,-198.06938046906205,0.03695960344320186
run17_fort.92,run17,-217.74931704305197,0.03498002219818925
run18_fort.92,run18,-193.9365408712438,0.04764646654189087
run19_fort.92,run19,-109.44351928563029,0.039496428049187356
run20_fort.92,run20,-97.31487862212266,0.03306198447160845
run21_fort.92,run21,-81.83657411044737,0.03866280631296846
run22_fort.92,run22,-127.28722623037186,0.017990055187061323
run23_fort.92,run23,-120.92656912847998,0.03209897171991355
run24_fort.92,run24,-112.01529911218557,0.03266498320438375
run25_fort.92,run25,-134.42576735387615,0.03392320204982905
run26_fort.92,run26,-116.83077162692899,0.03703376974022236
run27_fort.92,run27,-121.78382907066509,0.023212213612872734
